ts,mode,error_code,warning_code,G1_rpm,G1_current_a,G1_temp_c,G1_hopper_pct,G1_present,G2_rpm,G2_current_a,G2_temp_c,G2_hopper_pct,G2_present,brewL_pressure_bar,brewL_temp_c,brewL_flow_ml_s,brewL_timer_s,brewL_init_ok,brewR_pressure_bar,brewR_temp_c,brewR_flow_ml_s,brewR_timer_s,brewR_init_ok,pump_on,hyd_flow_left_ml_s,hyd_flow_right_ml_s,boiler_temp_left_c,boiler_temp_right_c,boiler_pressure_bar,milk_connected,milk_temp_c,milk_level_pct,milk_pump_on,foam_mode,steam_temp_c,steam_pressure_bar,hotwater_temp_c,hotwater_volume_ml,clean_level_pct,clean_light_barrier_ok,prod_id,prod_ml_target,prod_side,prod_stage,prod_actual_ml
2025-01-01T06:00:00,IDLE,,,0.0,0.1,25.034901424590338,100.0,1,0.0,0.1,25.015852070964865,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,88.3,88.3,1.0,1,3.5,100.0,0,OFF,100.45338197667049,1.321842388512642,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:00.500000,IDLE,,,0.0,0.1,25.047876823348638,100.0,1,0.0,0.1,25.02882796225639,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,88.6,88.6,1.0,1,3.5,100.0,0,OFF,101.10544897085518,1.2613947783322326,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:01,IDLE,,,0.0,0.1,25.053792591770588,100.0,1,0.0,0.1,25.06510476356397,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,88.89999999999999,88.89999999999999,1.0,1,3.5,100.0,0,OFF,99.67560761503128,1.1627416197143794,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:01.500000,IDLE,,,0.0,0.1,25.081051459917568,100.0,1,0.0,0.1,25.027706356224236,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,89.19999999999999,89.19999999999999,1.0,1,3.5,100.0,0,OFF,98.79255751724088,1.155016997660722,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:02,IDLE,,,0.0,0.1,25.070666526307534,100.0,1,0.0,0.1,25.057133776202093,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,89.49999999999999,89.49999999999999,1.0,1,3.5,100.0,0,OFF,99.36438314713516,1.0870157038931767,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:02.500000,IDLE,,,0.0,0.1,25.13463598937518,100.0,1,0.0,0.1,25.070360487187497,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,89.79999999999998,89.79999999999998,1.0,1,3.5,100.0,0,OFF,100.04726974328155,1.0860201451029234,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:03,IDLE,,,0.0,0.1,25.138304507639425,100.0,1,0.0,0.1,25.09368816487879,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,99.19430449580439,1.2300558414676537,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:03.500000,IDLE,,,0.0,0.1,25.140285346941862,100.0,1,0.0,0.1,25.104937352384994,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,99.57880537143942,1.348182254760715,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:04,IDLE,,,0.0,0.1,25.159880430199724,100.0,1,0.0,0.1,25.093206024516316,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,100.57578143847223,1.102332508002318,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:04.500000,IDLE,,,0.0,0.1,25.186146338049866,100.0,1,0.0,0.1,25.054415920799922,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,99.0702697657711,1.2157488988695297,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:05,IDLE,,,0.0,0.1,25.228300335449727,100.0,1,0.0,0.1,25.07955696923562,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,99.91904620232823,1.1759117043528569,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:05.500000,IDLE,,,0.0,0.1,25.203944675738704,100.0,1,0.0,0.1,25.07796164298378,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,99.67755286032815,1.2845697780975132,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:06,IDLE,,,0.0,0.1,25.234253224425757,100.0,1,0.0,0.1,25.0450704383229,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,100.22685877857636,1.1691934175666947,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:06.500000,IDLE,,,0.0,0.1,25.23394556441658,100.0,1,0.0,0.1,25.083420726988123,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,100.72169966574717,1.2745024095292958,96.0,0.0,100.0,1,,0,,,0.0
2025-01-01T06:00:07,IDLE,,,0.0,0.1,25.2287690387199,100.0,1,0.0,0.1,25.094144355712587,100.0,1,0.0,70.0,0.0,0.0,1,0.0,70.0,0.0,0.0,1,0,0.0,0.0,90.0,90.0,1.0,1,3.5,100.0,0,OFF,100.2318844019825,1.2780436101697887,96.0,0.0,100.0,1,,0,,,0.0
